Point	Segment	Pseudotime	Trajectories_1	Trajectories_2	Trajectories_3	Trajectories_4	Trajectories_5	Trajectories_6	Trajectories_7	Trajectory_15__46	Trajectory_15__47	Trajectory_15__48	Trajectory_15__49	Trajectory_15__50	Trajectory_15__51	Trajectory_15__52	Trajectory_15__53
721	1	0.287134427198003	48							0	0	1	0	0	0	0	0
722	1	7	48							0	0	1	0	0	0	0	0
723	0	2.61502638479886	46							1	0	0	0	0	0	0	0
724	1	1.1055266888787	48							0	0	1	0	0	0	0	0
725	2	3	47	49	50	51	52	53		0	1	0	1	1	1	1	1
726	2	3	47	49	50	51	52	53		0	1	0	1	1	1	1	1
727	2	2.93187626809971	47	49	50	51	52	53		0	1	0	1	1	1	1	1
728	0	0.828948008514565	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
729	1	9	48							0	0	1	0	0	0	0	0
730	0	3.32071873856409	46							1	0	0	0	0	0	0	0
731	0	2.11070527184496	46							1	0	0	0	0	0	0	0
732	1	8.55563717258668	48							0	0	1	0	0	0	0	0
733	1	2.85851479432778	48							0	0	1	0	0	0	0	0
734	1	7.17635632112163	48							0	0	1	0	0	0	0	0
735	1	3	48							0	0	1	0	0	0	0	0
736	1	2.03852367703772	48							0	0	1	0	0	0	0	0
737	0	2.81964324498102	46							1	0	0	0	0	0	0	0
738	1	0	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
739	2	3	47	49	50	51	52	53		0	1	0	1	1	1	1	1
740	1	0.158508511883807	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
741	2	1.60298590537492	47	49	50	51	52	53		0	1	0	1	1	1	1	1
742	0	3.15167174564872	46							1	0	0	0	0	0	0	0
743	2	3.1697404069351	47	49	50	51	52	53		0	1	0	1	1	1	1	1
744	1	1	48							0	0	1	0	0	0	0	0
745	1	0.461104547708243	48							0	0	1	0	0	0	0	0
746	1	6.08234139685585	48							0	0	1	0	0	0	0	0
747	1	7.39156714106289	48							0	0	1	0	0	0	0	0
748	1	2.2250656499637	48							0	0	1	0	0	0	0	0
749	12	6.08770167061372	49							0	0	0	1	0	0	0	0
750	0	3	46							1	0	0	0	0	0	0	0
